Name,Url,Description,Chains,Twitter,TVL,Chain TVLs,Category
Aura,https://aura.finance,Aura Finance is a protocol built on top of the Balancer system to provide maximum incentives to Balancer liquidity providers and BAL stakers (into veBAL) through social aggregation of BAL deposits and Aura's native token.,"['Ethereum', 'Arbitrum', 'xDai', 'Optimism', 'Polygon']",aurafinance,324782753.06234825,"{'Optimism': 6645101.5332790455, 'Ethereum': 292479352.1630624, 'xDai': 9332428.92817969, 'Ethereum-staking': 20114264.48703585, 'Polygon': 2591809.8537865165, 'Arbitrum': 13734060.584040564, 'staking': 20114264.48703585}",Yield
Portal,https://portalbridge.com,A token bridge built on Wormhole.,"['Ethereum', 'Solana', 'Binance', 'Near', 'Terra', 'Polygon', 'Arbitrum', 'Avalanche', 'Klaytn', 'Fantom', 'Optimism', 'Celo', 'Sui', 'Aptos', 'Oasis', 'Aurora', 'Moonbeam', 'Terra2', 'Acala', 'Algorand', 'Karura', 'XPLA', 'Base', 'Injective']",portalbridge_,305005684.72,"{'Optimism': 320378.64, 'Karura': 5.11, 'Klaytn': 639507.69, 'Binance': 15798229.31, 'Ethereum': 241158091.52, 'Oasis': 27376.98, 'Avalanche': 1053959.47, 'Celo': 249466.05, 'Arbitrum': 1862030.71, 'Fantom': 545686.98, 'Sui': 117178.87, 'Terra': 7761107.34, 'Aptos': 51726.39, 'XPLA': 0.97, 'Near': 8219151.26, 'Acala': 669.13, 'Base': 0, 'Moonbeam': 4288.68, 'Aurora': 5202.51, 'Injective': 0, 'Algorand': 562.38, 'Polygon': 5274625.25, 'Solana': 21914969.48, 'Terra2': 1470.01}",Bridge
PancakeSwap AMM V3,https://pancakeswap.finance/swap,PancakeSwap V3: A More Efficient and User-Friendly DEX on BNB Chain,"['Binance', 'Ethereum', 'zkSync Era', 'Arbitrum', 'Base', 'Linea', 'Polygon zkEVM']",PancakeSwap,304177355.54279727,"{'Polygon zkEVM': 434559.12129505357, 'Base': 548265.7636241391, 'Binance': 242140644.89690882, 'Ethereum': 56221368.23366637, 'zkSync Era': 3018809.8699935586, 'Linea': 443541.2166350066, 'Arbitrum': 1370166.44067431}",Dexes
SushiSwap,https://sushi.com/,"A fully decentralized protocol for automated liquidity provision on Ethereum.
","['Ethereum', 'Arbitrum', 'Polygon', 'xDai', 'Arbitrum Nova', 'Boba', 'Celo', 'Binance', 'Avalanche', 'Harmony', 'Fantom', 'Moonriver', 'Boba_Bnb', 'Fuse', 'Boba_Avax', 'OKExChain', 'Heco', 'Telos', 'Palm']",SushiSwap,276467555.35373354,"{'Moonriver': 224772.5681781868, 'Harmony': 443026.055607928, 'Binance': 795401.300553714, 'Ethereum': 214096927.88260958, 'xDai': 2581208.114235191, 'Heco': 3439.6502899165466, 'Avalanche': 644274.148583912, 'Ethereum-staking': 14908598.332674228, 'Telos': 561.6811534173539, 'Celo': 819160.7615951209, 'Arbitrum': 37044554.12951822, 'Fuse': 31590.677125185448, 'Fantom': 356716.9578270878, 'staking': 14908598.332674228, 'OKExChain': 18030.430064793854, 'Arbitrum Nova': 1644102.8912414971, 'Boba_Bnb': 101244.32800994013, 'Palm': 511.06131361665945, 'Boba_Avax': 24286.344550368354, 'Boba': 821794.1766811078, 'Polygon': 16815952.194594763}",Dexes
Tornado Cash,https://tornado.cash/,Non-custodial anonymous transactions on Ethereum.,"['Ethereum', 'Binance', 'Arbitrum', 'Polygon', 'Avalanche', 'xDai', 'Optimism']",TornadoCash,232353962.21709406,"{'Optimism': 26220.69, 'Binance': 21479677.044, 'Ethereum': 210094071.64899406, 'xDai': 50061.2226, 'Avalanche': 59572.8, 'Polygon': 246925.7115, 'Arbitrum': 397433.1}",Privacy
Radiant V2,https://radiant.capital/#/markets,"Radiant v2 introduces a migration to the LayerZero OFT format, improving cross-chain fee sharing, enabling faster launches on additional chains, and allowing native ownership of bridging contracts. This update addresses utility exchange concerns and eligibility for RDNT emissions by implementing changes to core protocol mechanics, emissions, utility, and enhancing cross-chain functionality","['Arbitrum', 'Binance']",RDNTCapital,226792529.75983465,"{'Arbitrum-borrowed': 195233925.9023989, 'pool2': 60740797.820548065, 'Binance-borrowed': 110937899.5601291, 'Binance-pool2': 20107145.034649096, 'Binance': 67358353.21390437, 'Arbitrum': 159434176.54593027, 'borrowed': 306171825.462528, 'Arbitrum-pool2': 40633652.78589897}",Lending
UNCX Network V2,https://unicrypt.network,"UNCX Network is a one-stop shop with providing its customers with everything they need to launch and maintain a sustainable and secure protocol. Create your token, secure your LP with our liquidity lockers, vest your supply according to your tokenomics and create farming/staking incentives with customisable rewards.","['Ethereum', 'Binance', 'Polygon', 'Arbitrum', 'Avalanche', 'xDai']",UNCX_token,217794512.78133315,"{'pool2': 192.89972115450288, 'xDai-pool2': 0, 'Binance-pool2': 0, 'Ethereum-pool2': 192.89972115450288, 'Binance': 60598801.52691042, 'Ethereum': 154148259.0146845, 'xDai': 1864.4452981313077, 'Avalanche': 13763.171863599098, 'Ethereum-staking': 4200686.796509354, 'Polygon': 2658509.312766931, 'Arbitrum': 373315.30980958365, 'staking': 4200686.796509354}",Launchpad
Beefy,https://beefy.com,"Beefy is a Decentralized, Multichain Yield Optimizer platform that allows users to earn compound interest on crypto. Through a set of investment strategies secured and enforced by smart contracts, Beefy automatically maximizes rewards from various liquidity pools (LPs),‌ ‌automated market making (AMM) projects,‌ ‌and‌ ‌other yield‌ farming ‌opportunities in the DeFi ecosystem.","['Polygon', 'Optimism', 'Base', 'Arbitrum', 'Binance', 'Ethereum', 'Avalanche', 'Fantom', 'Kava', 'Cronos', 'Polygon zkEVM', 'Metis', 'Canto', 'Moonriver', 'Fuse', 'Moonbeam', 'Aurora', 'Celo', 'Oasis', 'Harmony', 'Heco']",beefyfinance,186172379.3480096,"{'Optimism': 27415873.48567149, 'Fuse-staking': 21829.21159356, 'Harmony-staking': 271.20291417000004, 'Harmony': 11203.065533940002, 'Moonriver-staking': 34682.89674306, 'Binance': 20232354.196104992, 'Oasis': 34671.315586230005, 'Heco': 5739.3175569, 'Moonbeam-staking': 7251.2930387100005, 'Avalanche': 8345505.73691814, 'Ethereum-staking': 1134322.52104479, 'Base-staking': 0, 'Arbitrum': 25485542.06318406, 'Aurora-staking': 562.0508277600001, 'zkSync': 513230.62601724005, 'Moonbeam': 224260.04892573002, 'Aurora': 54958.824397230004, 'Avalanche-staking': 1121089.4655758701, 'Polygon': 46235200.54473078, 'Metis-staking': 83402.82505287, 'Polygon-staking': 1333525.9427754001, 'Canto': 917095.53179697, 'Metis': 1431888.39491712, 'Kava': 3089005.56905436, 'Kava-staking': 306599.16620736005, 'Optimism-staking': 3685102.8495350103, 'Celo-staking': 91.83987267, 'Moonriver': 659562.45957333, 'Oasis-staking': 0, 'Fantom-staking': 470737.6529127, 'Cronos-staking': 68137.35150306001, 'Polygon zkEVM-staking': 0, 'zkSync-staking': 885.7636462800001, 'Ethereum': 15080736.741624812, 'Binance-staking': 3033487.77147933, 'Canto-staking': 1059682.19509995, 'Celo': 47804.98694313, 'Fuse': 332832.74470293004, 'Fantom': 5875677.3149595605, 'staking': 13123916.415603573, 'Polygon zkEVM': 1501280.1985423502, 'Cronos': 2923925.9809576804, 'Arbitrum-staking': 762163.5751453501, 'Heco-staking': 90.84063567, 'Base': 25754030.200310614}",Yield Aggregator
Pendle,https://pendle.finance/,Pendle Finance is a protocol that enables the trading of tokenized future yield on an AMM system.,"['Ethereum', 'Arbitrum', 'Binance', 'Optimism', 'Avalanche']",pendle_fi,146067428.10824567,"{'Optimism': 2460014.8223125767, 'pool2': 699881.812337202, 'Ethereum-pool2': 325774.20643644355, 'Binance': 10061635.812518712, 'Ethereum': 86529393.05777594, 'Avalanche': 1161132.2234542258, 'Ethereum-staking': 26511819.922966108, 'Arbitrum': 45855252.192184195, 'Avalanche-pool2': 374107.6059007585, 'staking': 26511819.922966108}",Yield
Abracadabra,https://abracadabra.money/,Abracadabra.money is a spell book that allows users to produce magic internet money ($MIM) which is a stable coin that you can swap for any other traditional stable coin.,"['Ethereum', 'Arbitrum', 'Avalanche', 'Fantom']",MIM_Spell,115964728.04462133,"{'Ethereum': 95380740.65928157, 'Avalanche': 1060718.8892817032, 'Arbitrum': 18928277.257458016, 'Fantom': 594991.2386000388}",CDP
Synapse,https://synapseprotocol.com,"Synapse is a universal cross-chain liquidity network. Synapse connects blockchains by offering an extensible cross-chain communication protocol that supports assets, smart contract calls, and more","['Ethereum', 'Arbitrum', 'Avalanche', 'Binance', 'Polygon', 'Optimism', 'Canto', 'Base', 'Metis', 'Harmony', 'Klaytn', 'Boba', 'Aurora', 'Cronos', 'Fantom', 'Moonriver', 'Terra', 'Moonbeam']",SynapseProtocol,114059114.04547805,"{'Optimism': 2510533.9385387534, 'Metis': 1475936.9048867365, 'Moonriver': 6918.3894872618175, 'Klaytn': 41883.01395861214, 'Harmony': 751437.361423991, 'Binance': 4154073.265322903, 'Ethereum': 52413678.46345879, 'Avalanche': 4209972.265765333, 'Arbitrum': 40819960.50418921, 'Fantom': 7483.677862335001, 'Cronos': 11166.717437, 'pool2': 4522613.26764181, 'Terra': 4347.134087308473, 'Base': 1828501.68966855, 'Ethereum-pool2': 4522613.26764181, 'Moonbeam': 0.0184973, 'Boba': 38348.44320226315, 'Aurora': 37183.19401359628, 'Polygon': 3251673.9288760554, 'Canto': 2496015.1348020528}",Cross Chain
Multichain,https://multichain.org/,"Cross-Chain Router Protocol (CRP), envisioned to be the ultimate router for Web3.","['Ethereum', 'Binance', 'Polygon', 'Fantom', 'Klaytn', 'Avalanche', 'Arbitrum', 'Optimism', 'Harmony', 'Cronos', 'Heco', 'OKExChain', 'Polygon zkEVM', 'Kardia', 'Kucoin', 'Syscoin', 'Fusion', 'Velas', 'Celo', 'Arbitrum Nova', 'DFK', 'Dogechain', 'Fuse', 'Moonbeam', 'Shiden', 'Bitgert', 'Moonriver', 'IoTeX', 'Bittorrent', 'Kava', 'Telos', 'Metis', 'EthereumClassic', 'xDai', 'CLV', 'Milkomeda', 'Aurora', 'Cube', 'ThunderCore', 'Astar', 'Oasis', 'Milkomeda A1', 'TomoChain', 'Evmos', 'Hoo', 'smartBCH', 'RSK', 'EthereumPoW', 'OntologyEVM', 'Conflux', 'GodwokenV1', 'Boba', 'REI', 'Ronin']",MultichainOrg,109781703.71751568,"{'Optimism': 999770.9991084081, 'DFK': 10913.542334801155, 'Cube': 0, 'Harmony': 253580.2599255685, 'ThunderCore': 0, 'CLV': 109.6426791107702, 'Binance': 30871981.237102855, 'Dogechain': 8368.584273701304, 'Astar': 0, 'Oasis': 0, 'Heco': 216972.39277142996, 'Shiden': 5332.275722460835, 'Avalanche': 1185015.8761232402, 'Telos': 726.9774463323356, 'Arbitrum': 1156145.9122007443, 'Milkomeda A1': 0, 'TomoChain': 0, 'Evmos': 0, 'Hoo': 0, 'Arbitrum Nova': 12869.751109944782, 'Milkomeda': 87.41343352631598, 'smartBCH': 0, 'RSK': 0, 'Moonbeam': 5836.7724189316705, 'Aurora': 0.003110451662800637, 'EthereumPoW': 0, 'Polygon': 4342297.903384749, 'OntologyEVM': 0, 'Metis': 378.9069269099271, 'Kava': 945.1737858425187, 'Moonriver': 4138.996521938812, 'Klaytn': 1451595.8077761908, 'Velas': 17690.690099077834, 'Bitgert': 4410.905134495448, 'IoTeX': 3522.535997014441, 'Ethereum': 65684683.09715144, 'xDai': 174.87565042255312, 'EthereumClassic': 307.4776209377776, 'Conflux': 0, 'GodwokenV1': 0, 'Celo': 15400.338306104273, 'Fuse': 6925.827201557143, 'Fusion': 22988.91267215788, 'Fantom': 2716130.883691184, 'Polygon zkEVM': 122339.33167369565, 'Cronos': 220048.8972967543, 'OKExChain': 172183.95679893173, 'Kardia': 117165.87854664258, 'Kucoin': 96694.6406913982, 'Bittorrent': 3354.845970350619, 'Boba': 0, 'Syscoin': 50612.19485636232, 'REI': 0, 'Ronin': 0}",Bridge
Axelar,https://axelar.network,"Axelar delivers secure cross-chain communication for Web3. Our infrastructure enables dApp users to interact with any asset or application, on any chain, with one click.","['Ethereum', 'Arbitrum', 'Kujira', 'Polygon', 'Binance', 'Fantom', 'Moonbeam', 'Avalanche', 'Cosmos', 'Terra2', 'Osmosis', 'Secret', 'Stargaze', 'Injective', 'Juno', 'Crescent', 'Celo', 'Persistence', 'Umee', 'Comdex', 'Kava', 'Carbon', 'Evmos', 'Mantle', 'Aurora']",axelarcore,94400167.43252753,"{'Kava': 0, 'Cosmos': 39854.09353573477, 'Kujira': 511189.99194219994, 'Carbon': 0, 'Juno': 2.170262802864, 'Secret': 10.604147003916, 'Osmosis': 1272.4988643651484, 'Binance': 277779.22511880175, 'Comdex': 0.036987258355999995, 'Ethereum': 91472693.19058828, 'Avalanche': 136019.2817775018, 'Celo': 2.002, 'Arbitrum': 1172190.9454354753, 'Fantom': 239680.05322060714, 'Stargaze': 8.076343670016, 'Evmos': 0, 'Mantle': 0, 'Persistence': 0.433672407, 'Moonbeam': 228742.56343513363, 'Aurora': 0, 'Injective': 3.5813614799065245, 'Polygon': 317276.8380932095, 'Umee': 0.15564281664184, 'Crescent': 2.0495060946888, 'Terra2': 3439.6405926814246}",Bridge
cBridge,https://cbridge.celer.network/#/transfer,"Celer cBridge is a multi-chain network that enables instant, low-cost and ANY-to-ANY value transfers within and across different blockchains, such as Ethereum and Polkadot, and different layer-2 scaling solutions on top, such as Optimistic Rollup, ZK Rollup and sidechains","['Ethereum', 'Binance', 'Arbitrum', 'Avalanche', 'Optimism', 'Shiden', 'Polygon', 'Aurora', 'Boba', 'Metis', 'Fantom', 'Heco', 'OKExChain', 'xDai', 'Celo', 'Syscoin', 'Moonriver', 'Harmony', 'CLV', 'Astar', 'Oasis', 'Conflux', 'Milkomeda', 'Moonbeam', 'REI']",CelerNetwork,87190319.62822282,"{'Optimism': 3015829.832281757, 'Metis': 15037.511047915705, 'Moonriver': 0, 'Harmony': 0, 'CLV': 0, 'Binance': 10055292.234078387, 'Ethereum': 58979621.98174307, 'xDai': 346.50001433025, 'Astar': 0, 'Oasis': 0, 'Heco': 3007.3178566912366, 'Shiden': 2794035.7500143815, 'Avalanche': 3358400.638133738, 'Conflux': 0, 'Celo': 103.38122643848277, 'Arbitrum': 6396251.162891621, 'Fantom': 5948.088731236187, 'OKExChain': 1160.21032740306, 'Milkomeda': 0, 'Moonbeam': 0, 'Boba': 34793.836223839375, 'Aurora': 142284.25147534843, 'Syscoin': 0.17342, 'Polygon': 2388206.758756658, 'REI': 0}",Bridge
Poly Network,https://www.poly.network,Poly Network is a global cross-chain protocol for implementing blockchain interoperability and building Web3.0 infrastructure. Poly Network has also integrated over 20 blockchains.,"['Ethereum', 'NEO', 'Binance', 'Polygon', 'Neo3', 'Heco', 'Arbitrum', 'Avalanche', 'Optimism', 'Boba', 'Metis', 'Fantom', 'Kava', 'xDai', 'Celo', 'Astar', 'OKExChain', 'Ontology', 'Starcoin', 'Dexit', 'Harmony', 'Carbon', 'CLV', 'Bitgert', 'Oasis', 'Pallete', 'Conflux', 'Zilliqa', 'Hoo', 'Aptos', 'Kucoin', 'Bytomsidechain']",PolyNetwork2,81400614.61,"{'Optimism': 65581.8, 'Metis': 28621.87, 'Kava': 14319.3, 'Dexit': 0, 'Ontology': 434.17, 'Harmony': 0, 'Carbon': 0, 'CLV': 0, 'Bitgert': 0, 'Binance': 10943158.38, 'Ethereum': 36381371.69, 'xDai': 11048.71, 'Astar': 5465.58, 'Oasis': 0, 'Heco': 360037.13, 'Avalanche': 77534.56, 'Pallete': 0, 'Conflux': 0, 'Celo': 9822.84, 'Arbitrum': 297455.29, 'Starcoin': 3.52, 'Neo3': 408551.52, 'Fantom': 14852.68, 'OKExChain': 965.04, 'Zilliqa': 0, 'Hoo': 0, 'Aptos': 0, 'Kucoin': 0, 'Boba': 35887.39, 'Bytomsidechain': 0, 'NEO': 32031051.36, 'Polygon': 663290.73}",Bridge
Gamma,https://www.gamma.xyz,"A protocol for active liquidity management and market-making strategies. Gamma offers non-custodial, automated, and active concentrated liquidity management services.","['Polygon', 'Binance', 'Ethereum', 'Optimism', 'Polygon zkEVM', 'Arbitrum', 'Base', 'Linea', 'Moonbeam', 'Celo', 'Mantle', 'Avalanche', 'Fantom', 'Rollux']",GammaStrategies,79177992.65806744,"{'Optimism': 5670375.147971188, 'Polygon zkEVM': 3500417.9969124845, 'Mantle': 226.84630177416287, 'Base': 1030232.0932496459, 'Moonbeam': 298813.4984806684, 'Binance': 26162915.06310042, 'Ethereum': 6531096.615844471, 'Linea': 654669.821245002, 'Avalanche': 2.493470113596981, 'Ethereum-staking': 4407041.318190914, 'Polygon': 32355588.319244515, 'Celo': 7955.783105667727, 'Arbitrum': 2965698.92168916, 'Rollux': 6.3802351379622855e-06, 'Fantom': 0.057445944536470395, 'staking': 4407041.318190914}",Liquidity manager
BackedFi,https://backed.fi,"Fully backed, tokenized real-world assets.","['Ethereum', 'xDai', 'Polygon', 'Avalanche', 'Base', 'Binance', 'Arbitrum', 'Fantom']",BackedFi,70564668.68672,"{'Base': 0, 'Binance': 0, 'Ethereum': 59523332.609919995, 'xDai': 6597839.3216, 'Avalanche': 1596300, 'Polygon': 2847196.7552, 'Arbitrum': 0, 'Fantom': 0}",RWA
Silo Finance,https://app.silo.finance,Silo Finance creates permissionless and risk-isolated lending markets.,"['Ethereum', 'Arbitrum']",SiloFinance,64027052.32946281,"{'Ethereum': 54012201.503873006, 'Arbitrum-borrowed': 3984104.520952782, 'Ethereum-borrowed': 13963208.572618093, 'Arbitrum': 10014850.825589806, 'borrowed': 17947313.093570877}",Lending
Frax Swap,https://app.frax.finance/swap/main,Fraxswap is the first constant product automated market maker with an embedded time-weighted average market maker (TWAMM) for conducting large trades over long periods of time trustlessly. It is fully permissionless and the core AMM is based on Uniswap V2.,"['Ethereum', 'Arbitrum', 'Polygon', 'Avalanche', 'Fantom', 'Moonbeam', 'Binance', 'Dogechain']",fraxfinance,63681617.86600702,"{'Moonbeam': 1226221.4971143054, 'Binance': 1091104.0407935735, 'Dogechain': 223580.77324038197, 'Ethereum': 54046619.15395265, 'Avalanche': 1471664.8923842625, 'Polygon': 1935286.93975535, 'Arbitrum': 2284298.0009005684, 'Fantom': 1402842.5678659328}",Dexes
Sushi BentoBox,https://www.sushi.com,"BentoBox is a token vault that generates yield for the capital deposited into it, protocols can be built on top such as Kashi, Trident, Limit Order and Furo.","['Ethereum', 'Arbitrum', 'Fantom', 'Polygon', 'Avalanche', 'Binance', 'xDai', 'Optimism', 'Moonbeam', 'Moonriver', 'Celo']",SushiSwap,61326472.55387675,"{'Optimism': 4070.624574979232, 'Moonriver': 1.8354163650382082e-05, 'Moonbeam': 0.186219, 'Binance': 34160.49823710275, 'Ethereum': 56723908.40551361, 'xDai': 4724.031261356346, 'Avalanche': 273428.9506605955, 'Polygon': 528132.2107423836, 'Celo': 0, 'Arbitrum': 3214329.346335662, 'Fantom': 543718.3003137085}",Yield
Hop Protocol,https://hop.exchange,A protocol for sending tokens across rollups and their shared layer-1 network in a quick and trustless manner,"['Ethereum', 'Optimism', 'Arbitrum', 'Polygon', 'Base', 'xDai', 'Arbitrum Nova']",HopProtocol,60589532.42416284,"{'Optimism': 7122947.316570392, 'Arbitrum Nova': 36507.7904307935, 'Base': 1084657.644923918, 'Ethereum': 41586227.059079364, 'xDai': 784106.4734602253, 'Polygon': 3226702.0179578913, 'Arbitrum': 6748384.121740259}",Cross Chain
CIAN,https://cian.app,"CIAN is an open automation platform for onchain applications that allows users to swiftly build, optimize and protect intricate strategies using unrivaled automation primitives","['Ethereum', 'Polygon', 'Avalanche', 'Arbitrum', 'Optimism']",CIAN_protocol,55432294.64794553,"{'Optimism': 26597.95026762, 'Ethereum': 18767675.383747518, 'Avalanche': 13420084.68666111, 'Polygon': 13547785.62644376, 'Arbitrum': 9670151.00082552}",Services
MUX Protocol,https://mux.network/,"MUX Protocol Suite contains the MUX Leveraged Trading Protocol and MUX Aggregator. MUX offers optimized trading cost, deep aggregated liquidity, diverse market options and a wide range of leverage options for traders.","['Arbitrum', 'Binance', 'Avalanche', 'Optimism', 'Fantom']",muxprotocol,50837938.572080076,"{'Binance': 5644752.3410653155, 'Optimism': 1369720.6265079787, 'Avalanche': 1550710.6299247167, 'Arbitrum': 42256774.99133728, 'Fantom': 15979.983244790219}",Derivatives
Joe V2.1,https://traderjoexyz.com/arbitrum/trade,"Joe V2.1 is an optimized protocol that supports all router and quoter versions, enhancing gas efficiency, events, functions, and providing better transfer options across pair versions","['Arbitrum', 'Avalanche', 'Binance', 'Ethereum']",traderjoe_xyz,48078029.83887346,"{'Arbitrum-staking': 10340429.588382864, 'Binance': 1331123.2642229004, 'Ethereum': 1001547.5298015367, 'Avalanche': 21104308.283078853, 'Arbitrum': 24641050.76177017, 'staking': 10340429.588382864}",Dexes
Penpie,https://www.pendle.magpiexyz.io/stake,Penpie is a next-generation product by @magpiexyz_io that's set to revolutionize @pendle_fi,"['Ethereum', 'Arbitrum', 'Binance', 'Optimism']",Penpiexyz_io,44924472.864584915,"{'Binance': 5684360.07771371, 'Optimism': 454593.97531013977, 'Ethereum': 20990722.558021713, 'Arbitrum': 17794796.253539354}",Yield
Camelot V2,https://camelot.exchange/,"Camelot is an ecosystem-focused and community-driven DEX built on Arbitrum. It has been built as a highly efficient and customizable protocol, allowing both builders and users to leverage our custom infrastructure for deep, sustainable, and adaptable liquidity. Camelot moves beyond the traditional design of DEXs to focus on offering a tailored approach that prioritises composability",['Arbitrum'],CamelotDEX,44830851.76827744,{'Arbitrum': 44830851.76827744},Dexes
